id	departmento	Tipo trámite	URL
75	agricultura	220402	https://front.v30.ultrasist.net/agricultura/pantallas-captura/solicitud
144	agricultura	220403	https://front.v30.ultrasist.net/agricultura/certificado-exportacion/acuicola
76	agricultura	220404	https://front.v30.ultrasist.net/agricultura/desistimiento/desistimiento-page
77	agricultura	220501	https://front.v30.ultrasist.net/agricultura/sagarpa/datosdelasolicitud
78	agricultura	220502	https://front.v30.ultrasist.net/agricultura/inspeccion-fisica/pantallas
124	agricultura	220503	https://front.v30.ultrasist.net/agricultura/sanidadacuicola/certificado
79	agricultura	220701	https://front.v30.ultrasist.net/agricultura/inspeccion-fisica/inspeccion-fisica-zoosanitario
80	agricultura	220702	https://front.v30.ultrasist.net/agricultura/inspeccion-fitosanitario/fitosanitario
81	agricultura	220703	https://front.v30.ultrasist.net/agricultura/acuicola-fisica/acuicola
125	agricultura	221601	https://front.v30.ultrasist.net/agricultura/zoosanitario/solicitante
175	agricultura	221602	https://front.v30.ultrasist.net/agricultura/fitosanitario/solicitante
208	agricultura	221603	https://front.v30.ultrasist.net/agricultura/sanidad/solicitante
82	semarnat	230101	https://front.v30.ultrasist.net/semarnat/tramites-disponibles/solicitud
272	semarnat	230201	https://front.v30.ultrasist.net/semarnat/phytosanitary-export/solicitud
273	semarnat	230202	https://front.v30.ultrasist.net/semarnat/phytosanitary-rexportation/solicitud
274	semarnat	230301	https://front.v30.ultrasist.net/semarnat/desistimiento/solicitud
83	semarnat	230401	https://front.v30.ultrasist.net/semarnat/pantallas/action
275	semarnat	230501	https://front.v30.ultrasist.net/semarnat/materiales-peligrosos/solicitud
164	semarnat	230901	https://front.v30.ultrasist.net/semarnat/autorizaciones-de-vida-silvestre/datos
165	semarnat	230902	https://front.v30.ultrasist.net/semarnat/tramites-cites-importacion-exportacion-reexportacion/datos
84	semarnat	231001	https://front.v30.ultrasist.net/semarnat/aviso-de-materiales/datos
602	semarnat	231002	https://front.v30.ultrasist.net/semarnat/aviso-retorno/primera-subsecuente
185	semarnat	231003	https://front.v30.ultrasist.net/semarnat/aviso-de-reciclaje/datos
252	sedena	240101	https://front.v30.ultrasist.net/sedena/permiso-ordinario-importacion-armas-municiones/contenedor-de-pasos
253	sedena	240102	https://front.v30.ultrasist.net/sedena/permiso-extraordinario-importacion-armamento-fisicas-morales/contenedor-de-pasos
254	sedena	240105	https://front.v30.ultrasist.net/sedena/importacion-de-sustancias/ordinario-para
255	sedena	240106	https://front.v30.ultrasist.net/sedena/aviso-importacion-sustancias-quimicas/contenedor-de-pasos
256	sedena	240107	https://front.v30.ultrasist.net/sedena/sustancias-quimicas/solicitud
257	sedena	240108	https://front.v30.ultrasist.net/sedena/permiso-ordinario-importacion-material/contenedor-de-pasos
258	sedena	240111	https://front.v30.ultrasist.net/sedena/importacion-de-material-explosivo/ordinario-para
541	sedena	240112	https://front.v30.ultrasist.net/sedena/agregar/destinatario
259	sedena	240114	https://front.v30.ultrasist.net/sedena/armas-municiones-para-la-gente/contenedor-de-pasos
260	sedena	240117	https://front.v30.ultrasist.net/sedena/permiso-ordinario-exportacion-de-sustancias-quimicas/contenedor-de-pasos
261	sedena	240118	https://front.v30.ultrasist.net/sedena/permiso-extraordinario-para-la-exportacion-de-sustancias-quimicas/contenedor-de-pasos
262	sedena	240119	https://front.v30.ultrasist.net/sedena/artefactos-pirotecnicos-ordinarios/contenedor-de-pasos
263	sedena	240120	https://front.v30.ultrasist.net/sedena/permiso-exportacion-pirotecnia/contenedor-de-pasos
264	sedena	240121	https://front.v30.ultrasist.net/sedena/permiso-ordinario-exportacion-explosivo/permiso-exportacion-explosivo
265	sedena	240122	https://front.v30.ultrasist.net/sedena/permiso-extraordinario-exportacion-explosivo/contenedor-de-pasos
311	sedena	240123	https://front.v30.ultrasist.net/sedena/aviso-de-exportacion/contenedor-de-pasos
266	sedena	240305	https://front.v30.ultrasist.net/sedena/permiso-ordinario-importacion-substancias-quimicas/permiso-ordinario-importacion
267	sedena	240308	https://front.v30.ultrasist.net/sedena/permiso-ordinario/importacion-de-artificios
268	sedena	240311	https://front.v30.ultrasist.net/sedena/permiso-ordinario/importacion-artificios
560	sedena	240321	https://front.v30.ultrasist.net/sedena/modificacion-exportacion/contenedor-de-pasos
269	sedena	240405	https://front.v30.ultrasist.net/sedena/permiso-ordinario-importacion-sustancias-quimicas/contenedor-de-pasos
270	sedena	240407	https://front.v30.ultrasist.net/sedena/solicitud-prorroga-aviso-importacion/importacion-de-sustancias-quimicas
271	sedena	240411	https://front.v30.ultrasist.net/sedena/permiso-ordinario-prorroga-importacion-material-explosivo/contenedor-de-pasos
244	profepa	250101	https://front.v30.ultrasist.net/profepa/flora-fauna/solictud
491	profepa	250102	https://front.v30.ultrasist.net/profepa/flora-fauna-silvestre/solictud/
492	profepa	250103	https://front.v30.ultrasist.net/profepa/embalaje-de-madera/solictud
85	cofepris	260101	https://front.v30.ultrasist.net/cofepris/importacion-productos/contenedor-de-pasos
145	cofepris	260102	https://front.v30.ultrasist.net/cofepris/consumo-personal/solicitud
209	cofepris	260103	https://front.v30.ultrasist.net/cofepris/importacion-retorno-sanitario/contenedor-de-pasos
317	cofepris	260104	https://front.v30.ultrasist.net/cofepris/permiso-sanitario-productos/solicitud
210	cofepris	260201	https://front.v30.ultrasist.net/cofepris/importacion-psicotropicos-poretorno/contenedor-de-pasos
599	cofepris	260202	https://front.v30.ultrasist.net/cofepris/importacion-materias-primas
86	cofepris	260203	https://front.v30.ultrasist.net/cofepris/medicamentos-registro-sanitario/solicitud
107	cofepris	260204	https://front.v30.ultrasist.net/cofepris/permiso-sanitario-importacion-medicamentos/solicitud
87	cofepris	260205	https://front.v30.ultrasist.net/cofepris/materias-primas-destinados/solicitud
146	cofepris	260206	https://front.v30.ultrasist.net/cofepris/maquila-materias-primas/solicitud
211	cofepris	260207	https://front.v30.ultrasist.net/cofepris/importacion-tratamientos-especiales/contenedor-de-pasos
212	cofepris	260208	https://front.v30.ultrasist.net/cofepris/medicamentos-destinados-uso/contenedor-de-pasos
213	cofepris	260209	https://front.v30.ultrasist.net/cofepris/importacion-destinados-donacio/contenedor-de-pasos
108	cofepris	260210	https://front.v30.ultrasist.net/cofepris/permiso-sanitario-importacion-medicamentos-pruebas
88	cofepris	260211	https://front.v30.ultrasist.net/cofepris/permiso-sanitario/pantallas
89	cofepris	260212	https://front.v30.ultrasist.net/cofepris/permiso-maquila/solictud
147	cofepris	260213	https://front.v30.ultrasist.net/cofepris/permiso-sanitario-medicos-uso-personal/contenedor-de-pasos
90	cofepris	260214	https://front.v30.ultrasist.net/cofepris/importacion-dispositivos-medicos-uso/contenedor-de-pasos
91	cofepris	260215	https://front.v30.ultrasist.net/cofepris/permiso-sanitario-importacion/sanitario
92	cofepris	260216	https://front.v30.ultrasist.net/cofepris/importacion-dispositivos-medicos-donacion/contenedor-de-pasos
148	cofepris	260217	https://front.v30.ultrasist.net/cofepris/dispositivos-medicos-sin-registrar/contenedor-de-pasos
149	cofepris	260218	https://front.v30.ultrasist.net/cofepris/dispositivos-medicos-laboratorio/contenedor-de-pasos
214	cofepris	260219	https://front.v30.ultrasist.net/cofepris/importacion-remedios-herbolarios/contenedor-de-pasos
150	cofepris	260301	https://front.v30.ultrasist.net/cofepris/importacion-materias-primas-estupefacientes/contenedor-de-pasos
215	cofepris	260302	https://front.v30.ultrasist.net/cofepris/exportacion-materias-primas-estupefacientes/contenedor-de-pasos
151	cofepris	260303	https://front.v30.ultrasist.net/cofepris/importacion-psicotropicos/registrarIPM
216	cofepris	260304	https://front.v30.ultrasist.net/cofepris/exportacion-medicamentos-contengan/contenedor-de-pasos
93	cofepris	260401	https://front.v30.ultrasist.net/cofepris/territorio-nacional/solicitante
94	cofepris	260402	https://front.v30.ultrasist.net/cofepris/permiso-importacion-biologica/solictud
95	cofepris	260501	https://front.v30.ultrasist.net/cofepris/permiso-plaguicidas/plaguicidas
96	cofepris	260502	https://front.v30.ultrasist.net/cofepris/muestras-plaguicidas/plaguicidas
97	cofepris	260503	https://front.v30.ultrasist.net/cofepris/permiso-experimentales-plaguicidas/plaguicidas
217	cofepris	260504	https://front.v30.ultrasist.net/cofepris/permiso-sujetos/plaguicidas
218	cofepris	260505	https://front.v30.ultrasist.net/cofepris/permiso-transformacion-maquila/plaguicidas
452	cofepris	260507	https://front.v30.ultrasist.net/cofepris/importacion-plafest/solicitud
219	cofepris	260508	https://front.v30.ultrasist.net/cofepris/permiso-nutrientes/plaguicidas
220	cofepris	260509	https://front.v30.ultrasist.net/cofepris/permiso-vegetales-nutrientes/plaguicidas
221	cofepris	260510	https://front.v30.ultrasist.net/cofepris/permiso-pruebas-nutrientes/plaguicidas
222	cofepris	260511	https://front.v30.ultrasist.net/cofepris/permiso-nutrientes-exportacion/plaguicidas
152	cofepris	260512	https://front.v30.ultrasist.net/cofepris/permiso-de-importacion/pantallaspage
